University of Pennsylvania	['Brian J Bushee']	Introduction to Financial Accounting	May 4th, 2015	4 weeks long
Northwestern University	['Esther Barron', 'Steve Reed']	Law and the Entrepreneur 	Mar 8th, 2015	6 weeks long
University of Western Australia	['Winthrop Professor Philip Mead, BA, MA, PhD, DipEd, FAHA', 'Ms Claire Jones']	Australian literature: a rough guide	Mar 2nd, 2015	6 weeks long
University of Florida	['George J. Hochmuth, Ph.D.']	Sustainable Agricultural Land Management	Mar 2nd, 2015	9 weeks long
Vanderbilt University	['Barbara S. Stengel, Ph.D.', 'Marcy Singer-Gabella, Ph.D.']	Student Thinking at the Core	Mar 2nd, 2015	6 weeks long
The University of Melbourne	['Professor Pascal Van Hentenryck']	Discrete Optimization	Mar 4th, 2015	9 weeks long
Case Western Reserve University	['Peter A. Carfagna']	Representing the Professional Athlete	Mar 11th, 2015	9 weeks long
Commonwealth Education Trust	['Professor John MacBeath']	Foundations of Teaching for Learning 1: Introduction	Mar 2nd, 2015	4 weeks long
The Ohio State University	['Dr. Jennifer Evans-Cowley', 'Thomas  W. Sanchez']	TechniCity	Mar 4th, 2015	8 weeks long
Princeton University	['Unknown Author']	Fog Networks and the Internet of Things	Mar 2nd, 2015	6 weeks long
The Ohio State University	['Stanley Lemeshow, PhD']	Applied Regression Analysis	Mar 23rd, 2015	6 weeks long
Princeton University	['Robert Sedgewick']	Analytic Combinatorics	Mar 20th, 2015	6 weeks long
University of Florida	['Chris J. Mortensen, Ph.D.']	The Horse Course: Introduction to Basic Care and Management	Mar 16th, 2015	6 weeks long
Stanford University	['Tim Roughgarden']	Algorithms: Design and Analysis, Part 2	Mar 23rd, 2015	6 weeks long
University of Zurich	['Sandra Schneeberger']	Sagas and Space - Thinking Space in Viking Age and Medieval Scandinavia	Mar 23rd, 2015	8 weeks long
Princeton University	['Kevin Wayne', 'Robert Sedgewick']	Algorithms, Part II	Mar 20th, 2015	6 weeks long
The World Bank	['Mary McNeil', 'Björn-Sören Gigler', 'Tiago Peixoto', 'Benji Holzman']	Engaging Citizens:  A Game Changer for Development?	Mar 15th, 2015	4 weeks long
State University of New York	['Dr. Valeri Chukhlomin', 'Lorette Pellettiere Calix', 'Dr.  Anant Deshpande', 'Jeannine Mercer', 'Dr.  Bidhan Chandra']	iMOOC101: Mastering American eLearning	Mar 23rd, 2015	6 weeks long
University of Minnesota	['Matt McGue']	Introduction to Human Behavioral Genetics	Mar 16th, 2015	8 weeks long
Technion - Israel Institute of Technology	['Prof. Hossam Haick']	Nanotechnology and Nanosensors	Mar 16th, 2015	10 weeks long
Georgia Institute of Technology	['Dr. Wayne Whiteman, PE']	Introduction to Engineering Mechanics	Go at your own pace.	Indeterminate Duration
Columbia University	['Jeffrey Sachs']	Introduction to Sustainable Development 	Go at your own pace.	Indeterminate Duration
University of Michigan	['Charles Severance']	Internet History, Technology, and Security	Go at your own pace.	Indeterminate Duration
University of Pennsylvania	['Michael R Roberts']	Introduction to Corporate Finance	Jul 6th, 2015	4 weeks long
Northwestern University	['John Lavine', 'Candy Lee']	Content Strategy for Professionals 1: Engaging Audiences for Your Organization	Mar 30th, 2015	6 weeks long
University of Michigan	['Gautam Kaul']	Introduction to Finance	Jun 1st, 2015	15 weeks long
University of Illinois at Urbana-Champaign	['Jiawei Han']	Pattern Discovery in Data Mining	Feb 9th, 2015	4 weeks long
The University of Tokyo	['Michihiro Kandori']	Welcome to Game Theory	Feb 4th, 2015	4 weeks long
The University of North Carolina at Chapel Hill	['Dr. Barbara L. Fredrickson']	Positive Psychology 	Feb 9th, 2015	6 weeks long
Relay Graduate School of Education	['Maia Heyck-Merlin']	Get Organized: How to be a Together Teacher	Go at your own pace.	Indeterminate Duration
University of Minnesota	['Karen  Monsen, Ph.D., RN, FAAN']	Interprofessional Healthcare Informatics 	Go at your own pace.	Indeterminate Duration
Duke University	['Dr. David Boyd']	The Challenges of Global Health	Go at your own pace.	Indeterminate Duration
The Ohio State University	['Jim Fowler, PhD']	Calculus Two: Sequences and Series	Go at your own pace.	Indeterminate Duration
Ludwig-Maximilians-Universität München (LMU)	['Tobias Kretschmer']	高阶竞争策略（中文版）	Go at your own pace.	Indeterminate Duration
The University of North Carolina at Chapel Hill	['Dr.  Karin Yeatts  ', 'Dr. Lorraine Alexander  ']	Epidemiology: The Basic Science of Public Health	Go at your own pace.	Indeterminate Duration
The University of Edinburgh	['Charles Cockell']	Astrobiology and the Search for Extraterrestrial Life	Go at your own pace.	Indeterminate Duration
University of Kentucky	['Dr. Allison Soult', 'Dr. Kim Woodrum']	Advanced Chemistry	Go at your own pace.	Indeterminate Duration
University of Toronto	['Nicholas James Provart']	Bioinformatic Methods I	Go at your own pace.	Indeterminate Duration
Technical University of Denmark (DTU)	['Eva Bundgaard', 'Frederik C. Krebs', 'Mikkel Jørgensen', 'Morten Vesterager Madsen']	Organic Solar Cells - Theory and Practice	Go at your own pace.	Indeterminate Duration
Ludwig-Maximilians-Universität München (LMU)	['Tobias Kretschmer']	Advanced Competitive Strategy	Go at your own pace.	Indeterminate Duration
University of Virginia	['Professor Peter S. Onuf']	Age of Jefferson	Go at your own pace.	Indeterminate Duration
Columbia University	['Martin Haugh', 'Garud Iyengar']	Financial Engineering and Risk Management Part II	Go at your own pace.	Indeterminate Duration
The Museum of Modern Art	['Lisa Mazzola']	Art and Inquiry: Museum Teaching Strategies For Your Classroom 	Go at your own pace.	Indeterminate Duration
University of Virginia	['R. Edward Freeman  ']	New Models of Business in Society	Go at your own pace.	Indeterminate Duration
Wesleyan University	['Richard Adelstein']	Property and Liability: An Introduction to Law and Economics	Go at your own pace.	Indeterminate Duration
University of Virginia	['Professor Larry J. Sabato  ']	The Kennedy Half Century	Go at your own pace.	Indeterminate Duration
New Teacher Center	['Kevin Drinkard']	Common Core in Action: Math Classroom Challenges- Using Formative Assessment to Guide Instruction	Mar 30th, 2015	6 weeks long
Commonwealth Education Trust	['Professor Tony Townsend', 'Professor John MacBeath', 'Dr Fawaz Shareef']	Foundations of Teaching for Learning 8: Developing Relationships	May 11th, 2015	6 weeks long
University of Michigan	['Scott E. Page']	Model Thinking	Jun 1st, 2015	10 weeks long
University of Copenhagen	['Thomas Bjarnsholt']	Bacteria and Chronic Infections	May 13th, 2015	6 weeks long
Icahn School of Medicine at Mount Sinai	['Susana Neves, PhD', 'Ravi Iyengar, PhD']	Integrated Analysis in Systems Biology	Apr 20th, 2015	4 weeks long
University of California, San Francisco	['Wylie Burke, MD, PhD', 'Barbara A. Koenig, PhD', 'Julie N. Harris-Wai, Ph.D., MPH']	Ethical and Social Challenges of Genomic and Precision Medicine	Apr 27th, 2015	7 weeks long
University of Manchester	['Dr Roger Harrison', 'Dr Arpana Verma']	An Introduction to Population Health	Apr 13th, 2015	6 weeks long
Universiteit Leiden	['Sjoerd Douma', 'Frank Engelen', 'Kees van Raad', 'Stefano Simontacchi']	Rethinking International Tax Law	Apr 27th, 2015	6 weeks long
